date,close,SECID
2018-06-01,137.0,ABRD
2018-06-04,,ABRD
2018-06-05,134.0,ABRD
2018-06-06,,ABRD
2018-06-07,139.0,ABRD
2018-06-08,,ABRD
2018-06-09,158.0,ABRD
2018-06-11,155.0,ABRD
2018-06-13,144.0,ABRD
2018-06-14,,ABRD
2018-06-15,151.0,ABRD
2018-06-18,150.0,ABRD
2018-06-19,,ABRD
2018-06-20,150.0,ABRD
2018-06-21,,ABRD
2018-06-22,147.0,ABRD
2018-06-25,,ABRD
2018-06-26,,ABRD
2018-06-27,,ABRD
2018-06-28,,ABRD
2018-06-29,,ABRD
2018-07-02,,ABRD
2018-07-03,149.0,ABRD
2018-07-04,149.0,ABRD
2018-07-05,149.5,ABRD
2018-07-06,145.0,ABRD
2018-07-09,145.0,ABRD
2018-07-10,144.5,ABRD
2018-07-11,142.0,ABRD
2018-07-12,140.5,ABRD
2018-07-13,,ABRD
2018-07-16,140.0,ABRD
2018-07-17,,ABRD
2018-07-18,,ABRD
2018-07-19,140.0,ABRD
2018-07-20,146.5,ABRD
2018-07-23,,ABRD
2018-07-24,143.5,ABRD
2018-07-25,146.0,ABRD
2018-07-26,,ABRD
2018-07-27,,ABRD
2018-07-30,,ABRD
2018-07-31,,ABRD
2018-08-01,,ABRD
2018-08-02,,ABRD
2018-08-03,,ABRD
2018-08-06,,ABRD
2018-08-07,,ABRD
2018-08-08,140.0,ABRD
2018-08-09,135.0,ABRD
2018-08-10,135.0,ABRD
2018-08-13,,ABRD
2018-08-14,140.0,ABRD
2018-08-15,,ABRD
2018-08-16,138.0,ABRD
2018-08-17,,ABRD
2018-08-20,,ABRD
2018-08-21,,ABRD
2018-08-22,,ABRD
2018-08-23,135.0,ABRD
2018-08-24,134.0,ABRD
2018-08-27,140.0,ABRD
2018-08-28,,ABRD
